,世代,時間,出力数,前世代までの合計
0,1st, 6 minutes 3 seconds,1,0
1,2nd, 36 minutes 8 seconds,1,1
2,3rd, 2 hours 51 minutes 17 seconds,2,2
3,5th, 5 hours 31 minutes 52 seconds,2,4
4,6th, 5 hours 53 minutes 2 seconds,4,6
5,7th, 6 hours 2 minutes 10 seconds,4,10
6,8th, 6 hours 8 minutes 20 seconds,3,14
7,9th, 6 hours 17 minutes 30 seconds,4,17
8,10th, 6 hours 23 minutes 42 seconds,2,21
9,11th, 6 hours 53 minutes 54 seconds,3,23
10,12th, 6 hours 57 minutes 6 seconds,4,26
11,13th, 7 hours 18 seconds,3,30
12,14th, 7 hours 12 minutes 30 seconds,5,33
13,15th, 7 hours 15 minutes 42 seconds,1,38
14,16th, 7 hours 21 minutes 53 seconds,3,39
15,17th, 7 hours 22 minutes 6 seconds,5,42
16,18th, 7 hours 46 minutes 19 seconds,3,47
17,19th, 7 hours 46 minutes 31 seconds,2,50
18,20th, 7 hours 55 minutes 44 seconds,1,52
19,22nd, 8 hours 22 minutes 46 seconds,3,53
20,23rd, 8 hours 31 minutes 59 seconds,5,56
21,25th, 8 hours 48 minutes 59 seconds,3,61
22,26th, 9 hours 4 minutes 12 seconds,3,64
23,27th, 9 hours 36 minutes 30 seconds,5,67
24,28th, 9 hours 39 minutes 43 seconds,3,72
25,29th, 9 hours 42 minutes 57 seconds,3,75
26,31st, 9 hours 58 minutes 25 seconds,4,78
27,32nd, 10 hours 7 minutes 39 seconds,4,82
28,33rd, 10 hours 31 minutes 53 seconds,5,86
29,34th, 10 hours 44 minutes 8 seconds,5,91
30,35th, 10 hours 50 minutes 22 seconds,3,96
31,36th, 10 hours 56 minutes 24 seconds,1,99
