,世代,時間,出力数,前世代までの合計
0,1st, 16 seconds,1,0
1,3rd, 34 minutes 6 seconds,2,1
2,4th, 34 minutes 45 seconds,2,3
3,5th, 38 minutes 18 seconds,1,5
4,9th, 1 hours 26 minutes 12 seconds,2,6
5,11th, 1 hours 39 minutes 36 seconds,1,8
6,12th, 1 hours 43 minutes 22 seconds,3,9
7,13th, 1 hours 50 minutes 8 seconds,2,12
8,15th, 2 hours 12 minutes 34 seconds,2,14
9,16th, 2 hours 25 minutes 13 seconds,2,16
10,21st, 4 hours 29 minutes 12 seconds,5,18
11,25th, 5 hours 14 minutes 12 seconds,3,23
12,27th, 6 hours 21 minutes 57 seconds,1,26
13,32nd, 9 hours 20 minutes 11 seconds,2,27
14,34th, 10 hours 54 minutes 50 seconds,1,29
15,40th, 13 hours 3 minutes 8 seconds,1,30
16,42nd, 14 hours 1 minutes 41 seconds,1,31
17,45th, 15 hours 19 minutes 13 seconds,5,32
18,46th, 15 hours 58 minutes 55 seconds,1,37
19,49th, 17 hours 25 minutes 28 seconds,1,38
20,50th, 17 hours 53 minutes 23 seconds,1,39
21,53rd, 19 hours 1 minutes 58 seconds,2,40
22,56th, 20 hours 13 minutes 34 seconds,3,42
23,58th, 20 hours 33 minutes 23 seconds,4,45
24,59th, 20 hours 49 minutes 21 seconds,3,49
25,60th, 21 hours 5 minutes 16 seconds,1,52
26,67th, 22 hours 9 minutes 18 seconds,1,53
27,68th, 22 hours 22 minutes 29 seconds,2,54
28,69th, 22 hours 32 minutes 41 seconds,1,56
29,70th, 22 hours 48 minutes 43 seconds,1,57
30,72nd, 23 hours 20 minutes 59 seconds,2,58
31,74th, 23 hours 44 minutes 35 seconds,1,60
