,世代,時間,出力数,前世代までの合計
0,1st, 7 seconds,1,0
1,2nd, 11 seconds,1,1
2,7th, 38 seconds,1,2
3,13th, 1 minutes 21 seconds,1,3
4,14th, 1 minutes 29 seconds,1,4
5,17th, 1 minutes 51 seconds,2,5
6,20th, 2 minutes 14 seconds,1,7
7,21st, 2 minutes 21 seconds,1,8
8,26th, 3 minutes 2 seconds,2,9
9,32nd, 3 minutes 51 seconds,2,11
10,37th, 4 minutes 32 seconds,1,13
11,39th, 4 minutes 50 seconds,1,14
12,46th, 8 minutes 52 seconds,1,15
13,51st, 15 minutes 41 seconds,1,16
14,63rd, 17 minutes 47 seconds,1,17
15,64th, 17 minutes 58 seconds,1,18
16,67th, 18 minutes 32 seconds,1,19
17,69th, 18 minutes 57 seconds,1,20
18,70th, 19 minutes 11 seconds,1,21
19,72nd, 19 minutes 37 seconds,1,22
20,73rd, 19 minutes 50 seconds,1,23
21,76th, 20 minutes 30 seconds,1,24
22,86th, 43 minutes 47 seconds,1,25
23,103rd, 1 hours 14 minutes 55 seconds,1,26
24,110th, 1 hours 34 minutes 43 seconds,1,27
25,124th, 2 hours 17 minutes 45 seconds,1,28
26,135th, 2 hours 20 minutes 58 seconds,2,29
27,137th, 2 hours 21 minutes 34 seconds,1,31
28,204th, 3 hours 5 minutes 59 seconds,1,32
29,206th, 3 hours 6 minutes 49 seconds,1,33
30,220th, 3 hours 12 minutes 46 seconds,1,34
31,234th, 3 hours 18 minutes 52 seconds,1,35
32,236th, 3 hours 19 minutes 46 seconds,1,36
33,241st, 3 hours 24 minutes 58 seconds,1,37
34,246th, 3 hours 27 minutes 7 seconds,2,38
35,264th, 3 hours 35 minutes 35 seconds,1,40
36,265th, 3 hours 36 minutes 4 seconds,1,41
37,267th, 3 hours 37 minutes 4 seconds,1,42
38,327th, 4 hours 7 minutes 44 seconds,1,43
39,341st, 4 hours 15 minutes 28 seconds,1,44
40,345th, 4 hours 17 minutes 43 seconds,1,45
41,346th, 4 hours 18 minutes 18 seconds,1,46
42,347th, 4 hours 18 minutes 53 seconds,6,47
43,348th, 4 hours 19 minutes 25 seconds,3,53
44,349th, 4 hours 20 minutes 1 seconds,1,56
45,350th, 4 hours 20 minutes 35 seconds,2,57
46,351st, 4 hours 21 minutes 9 seconds,1,59
47,352nd, 4 hours 21 minutes 46 seconds,4,60
48,354th, 4 hours 22 minutes 58 seconds,4,64
49,355th, 4 hours 23 minutes 34 seconds,2,68
50,362nd, 4 hours 27 minutes 36 seconds,1,70
51,379th, 4 hours 37 minutes 36 seconds,1,71
52,400th, 4 hours 50 minutes 21 seconds,1,72
53,409th, 4 hours 56 minutes 5 seconds,2,73
54,410th, 4 hours 56 minutes 45 seconds,1,75
55,413th, 4 hours 58 minutes 44 seconds,2,76
56,414th, 4 hours 59 minutes 23 seconds,1,78
57,415th, 5 hours 3 seconds,1,79
58,417th, 5 hours 1 minutes 20 seconds,1,80
59,420th, 5 hours 3 minutes 19 seconds,1,81
60,425th, 5 hours 9 minutes 36 seconds,1,82
61,436th, 5 hours 17 minutes 2 seconds,1,83
62,440th, 5 hours 19 minutes 49 seconds,1,84
63,443rd, 5 hours 21 minutes 52 seconds,1,85
64,447th, 5 hours 24 minutes 39 seconds,1,86
65,449th, 5 hours 26 minutes 6 seconds,1,87
66,450th, 5 hours 26 minutes 50 seconds,2,88
67,453rd, 5 hours 28 minutes 55 seconds,1,90
68,459th, 5 hours 32 minutes 58 seconds,1,91
69,460th, 5 hours 33 minutes 40 seconds,1,92
70,472nd, 5 hours 42 minutes 17 seconds,1,93
71,479th, 5 hours 47 minutes 14 seconds,2,94
72,483rd, 5 hours 50 minutes 0 seconds,1,96
73,494th, 5 hours 57 minutes 34 seconds,1,97
