,世代,時間,出力数,前世代までの合計
0,1st, 6 seconds,1,0
1,5th, 28 seconds,1,1
2,7th, 41 seconds,1,2
3,8th, 48 seconds,3,3
4,9th, 55 seconds,2,6
5,10th, 1 minutes 2 seconds,1,8
6,11th, 1 minutes 9 seconds,1,9
7,12th, 1 minutes 16 seconds,3,10
8,14th, 7 minutes 32 seconds,2,13
9,15th, 7 minutes 38 seconds,3,15
10,16th, 7 minutes 47 seconds,5,18
11,17th, 7 minutes 54 seconds,1,23
12,19th, 8 minutes 8 seconds,1,24
13,25th, 8 minutes 53 seconds,2,25
14,28th, 9 minutes 17 seconds,1,27
15,29th, 9 minutes 26 seconds,2,28
16,32nd, 9 minutes 51 seconds,1,30
17,33rd, 10 minutes 0 seconds,1,31
18,39th, 10 minutes 51 seconds,1,32
19,48th, 12 minutes 20 seconds,1,33
20,49th, 12 minutes 31 seconds,2,34
21,55th, 19 minutes 35 seconds,1,36
22,62nd, 20 minutes 50 seconds,2,37
23,73rd, 22 minutes 55 seconds,1,39
24,75th, 23 minutes 18 seconds,1,40
25,88th, 25 minutes 48 seconds,1,41
26,90th, 26 minutes 12 seconds,1,42
27,117th, 32 minutes 13 seconds,1,43
28,133rd, 36 minutes 3 seconds,1,44
29,160th, 43 minutes 22 seconds,1,45
30,186th, 51 minutes 15 seconds,1,46
31,188th, 51 minutes 54 seconds,2,47
32,197th, 54 minutes 43 seconds,1,49
33,245th, 1 hours 12 minutes 6 seconds,1,50
34,253rd, 1 hours 15 minutes 21 seconds,1,51
35,263rd, 1 hours 25 minutes 33 seconds,1,52
36,268th, 1 hours 33 minutes 38 seconds,1,53
37,271st, 1 hours 34 minutes 51 seconds,1,54
38,272nd, 1 hours 35 minutes 17 seconds,2,55
39,275th, 1 hours 36 minutes 30 seconds,1,57
40,276th, 1 hours 36 minutes 55 seconds,1,58
41,278th, 1 hours 37 minutes 44 seconds,1,59
42,280th, 1 hours 38 minutes 32 seconds,1,60
43,284th, 1 hours 40 minutes 13 seconds,1,61
44,286th, 1 hours 41 minutes 5 seconds,1,62
45,287th, 1 hours 41 minutes 30 seconds,1,63
46,294th, 2 hours 44 minutes 36 seconds,1,64
47,295th, 2 hours 48 minutes 2 seconds,1,65
48,296th, 2 hours 57 minutes 29 seconds,2,66
49,304th, 3 hours 54 seconds,1,68
50,307th, 3 hours 2 minutes 12 seconds,1,69
51,310th, 3 hours 3 minutes 30 seconds,2,70
52,331st, 3 hours 15 minutes 36 seconds,1,72
53,333rd, 3 hours 16 minutes 27 seconds,1,73
54,335th, 3 hours 17 minutes 19 seconds,1,74
55,349th, 3 hours 23 minutes 24 seconds,1,75
56,355th, 3 hours 26 minutes 4 seconds,1,76
57,367th, 3 hours 31 minutes 50 seconds,1,77
58,369th, 3 hours 32 minutes 51 seconds,1,78
59,370th, 3 hours 33 minutes 20 seconds,2,79
60,384th, 3 hours 40 minutes 31 seconds,1,81
61,386th, 3 hours 41 minutes 36 seconds,1,82
62,387th, 3 hours 42 minutes 10 seconds,1,83
63,388th, 3 hours 42 minutes 45 seconds,1,84
64,390th, 3 hours 43 minutes 50 seconds,1,85
65,391st, 3 hours 44 minutes 25 seconds,1,86
66,393rd, 3 hours 45 minutes 31 seconds,1,87
67,394th, 3 hours 46 minutes 5 seconds,1,88
68,400th, 3 hours 49 minutes 32 seconds,1,89
69,403rd, 3 hours 51 minutes 17 seconds,1,90
70,407th, 4 hours 11 minutes 40 seconds,1,91
71,410th, 4 hours 16 minutes 25 seconds,1,92
72,412th, 4 hours 17 minutes 32 seconds,1,93
73,415th, 4 hours 19 minutes 17 seconds,1,94
74,421st, 4 hours 25 minutes 53 seconds,1,95
75,424th, 4 hours 27 minutes 45 seconds,2,96
76,429th, 4 hours 33 minutes 55 seconds,1,98
77,441st, 4 hours 49 minutes 43 seconds,1,99
