,0,1
0,3,1
1,6,2
2,6,3
3,6,4
4,7,5
5,7,7
6,7,9
7,10,10
8,10,11
9,11,12
10,15,13
11,17,14
12,18,15
13,22,16
14,23,17
15,28,18
16,28,19
17,28,20
18,29,21
19,29,22
20,35,24
21,38,25
22,43,29
23,48,32
24,48,35
25,49,36
26,53,37
27,55,39
28,55,41
29,55,43
30,56,44
31,62,46
32,62,48
33,69,51
34,69,54
35,71,55
36,76,58
37,76,61
38,76,64
39,81,65
40,89,66
41,90,67
42,97,68
43,98,69
44,111,71
45,119,72
46,134,73
47,143,74
48,144,75
49,160,76
50,160,77
51,162,78
52,163,79
53,164,80
54,167,81
55,179,83
56,179,85
57,219,86
58,428,87
59,452,89
60,458,92
61,458,95
62,467,100
63,467,105
64,467,110
65,467,115
66,467,120
67,488,121
68,1017,123
69,1024,125
70,1024,127
71,1034,130
72,1034,133
73,1048,134
74,1071,135
75,1097,136
76,1239,139
77,1246,141
78,1441,142
79,1457,145
80,1457,148
81,1530,150
82,2241,151
83,2614,152
