,世代,時間,出力数,前世代までの合計
0,5th, 29 seconds,1,0
1,14th, 1 minutes 30 seconds,1,1
2,15th, 1 minutes 37 seconds,1,2
3,18th, 1 minutes 59 seconds,1,3
4,21st, 2 minutes 24 seconds,1,4
5,23rd, 2 minutes 40 seconds,1,5
6,24th, 2 minutes 47 seconds,1,6
7,25th, 2 minutes 55 seconds,2,7
8,29th, 6 minutes 25 seconds,1,9
9,32nd, 9 minutes 46 seconds,1,10
10,42nd, 17 minutes 4 seconds,2,11
11,45th, 17 minutes 28 seconds,1,13
12,48th, 17 minutes 51 seconds,1,14
13,51st, 18 minutes 17 seconds,1,15
14,78th, 25 minutes 19 seconds,1,16
15,79th, 25 minutes 30 seconds,2,17
16,83rd, 26 minutes 12 seconds,1,19
17,90th, 27 minutes 27 seconds,1,20
18,109th, 31 minutes 16 seconds,2,21
19,111th, 31 minutes 42 seconds,1,23
