,世代,時間,出力数,前世代までの合計
0,1st, 6 seconds,1,0
1,3rd, 17 seconds,1,1
2,5th, 28 seconds,1,2
3,6th, 35 seconds,2,3
4,7th, 43 seconds,4,5
5,8th, 51 seconds,1,9
6,13th, 1 minutes 33 seconds,1,10
7,14th, 1 minutes 41 seconds,2,11
8,15th, 1 minutes 48 seconds,2,13
9,16th, 10 minutes 57 seconds,1,15
10,18th, 41 minutes 13 seconds,1,16
11,30th, 48 minutes 54 seconds,1,17
12,31st, 49 minutes 3 seconds,1,18
13,33rd, 49 minutes 20 seconds,1,19
14,34th, 49 minutes 29 seconds,3,20
15,35th, 49 minutes 38 seconds,3,23
16,36th, 49 minutes 47 seconds,1,26
17,37th, 52 minutes 56 seconds,1,27
18,38th, 53 minutes 6 seconds,4,28
19,39th, 53 minutes 14 seconds,1,32
20,46th, 54 minutes 16 seconds,1,33
21,47th, 54 minutes 25 seconds,1,34
22,48th, 54 minutes 35 seconds,1,35
23,49th, 54 minutes 44 seconds,2,36
24,51st, 55 minutes 3 seconds,1,38
25,52nd, 55 minutes 13 seconds,1,39
26,53rd, 55 minutes 22 seconds,1,40
27,54th, 55 minutes 31 seconds,1,41
28,56th, 55 minutes 50 seconds,1,42
29,62nd, 56 minutes 52 seconds,2,43
30,67th, 57 minutes 45 seconds,2,45
31,77th, 59 minutes 37 seconds,3,47
32,88th, 1 hours 10 minutes 41 seconds,1,50
33,96th, 1 hours 12 minutes 23 seconds,1,51
34,100th, 1 hours 13 minutes 16 seconds,1,52
35,106th, 1 hours 17 minutes 32 seconds,1,53
36,110th, 1 hours 18 minutes 24 seconds,2,54
37,115th, 1 hours 19 minutes 28 seconds,1,56
38,119th, 1 hours 20 minutes 21 seconds,1,57
39,120th, 1 hours 20 minutes 33 seconds,1,58
40,121st, 1 hours 20 minutes 47 seconds,1,59
41,122nd, 1 hours 21 minutes 0 seconds,3,60
42,123rd, 1 hours 21 minutes 14 seconds,1,63
43,124th, 1 hours 21 minutes 28 seconds,1,64
44,130th, 1 hours 23 minutes 1 seconds,1,65
45,133rd, 1 hours 23 minutes 46 seconds,1,66
46,137th, 1 hours 24 minutes 45 seconds,1,67
47,139th, 1 hours 25 minutes 18 seconds,1,68
48,142nd, 1 hours 26 minutes 1 seconds,1,69
49,146th, 1 hours 27 minutes 2 seconds,2,70
50,149th, 1 hours 27 minutes 50 seconds,1,72
51,162nd, 1 hours 31 minutes 18 seconds,1,73
52,163rd, 1 hours 31 minutes 35 seconds,2,74
53,166th, 1 hours 32 minutes 26 seconds,1,76
54,177th, 1 hours 50 minutes 36 seconds,1,77
55,180th, 1 hours 51 minutes 32 seconds,1,78
56,181st, 1 hours 51 minutes 50 seconds,1,79
57,182nd, 1 hours 52 minutes 9 seconds,2,80
58,187th, 1 hours 53 minutes 40 seconds,2,82
59,188th, 1 hours 53 minutes 58 seconds,1,84
60,195th, 1 hours 56 minutes 4 seconds,1,85
61,200th, 2 hours 30 seconds,1,86
62,223rd, 3 hours 5 minutes 32 seconds,1,87
63,224th, 3 hours 5 minutes 53 seconds,1,88
64,250th, 3 hours 21 minutes 22 seconds,1,89
65,267th, 4 hours 18 minutes 43 seconds,1,90
66,269th, 4 hours 25 minutes 27 seconds,2,91
67,277th, 4 hours 52 minutes 29 seconds,1,93
68,278th, 4 hours 58 minutes 53 seconds,1,94
69,280th, 5 hours 20 minutes 37 seconds,1,95
70,312th, 6 hours 3 seconds,2,96
71,315th, 6 hours 1 minutes 18 seconds,1,98
72,322nd, 6 hours 4 minutes 1 seconds,1,99
