,世代,時間,出力数,前世代までの合計
0,1st, 3 seconds,1,0
1,2nd, 10 seconds,1,1
2,3rd, 15 seconds,1,2
3,4th, 22 seconds,1,3
4,5th, 30 seconds,1,4
5,18th, 2 minutes 7 seconds,2,5
6,26th, 3 minutes 12 seconds,1,7
7,28th, 3 minutes 31 seconds,1,8
8,31st, 3 minutes 58 seconds,1,9
9,48th, 9 minutes 30 seconds,1,10
10,51st, 9 minutes 59 seconds,1,11
11,52nd, 10 minutes 9 seconds,2,12
12,56th, 10 minutes 49 seconds,1,14
13,60th, 11 minutes 27 seconds,2,15
14,64th, 12 minutes 7 seconds,2,17
15,65th, 12 minutes 17 seconds,2,19
16,66th, 12 minutes 27 seconds,2,21
17,67th, 12 minutes 37 seconds,3,23
18,68th, 12 minutes 48 seconds,3,26
19,69th, 12 minutes 59 seconds,1,29
20,75th, 14 minutes 8 seconds,1,30
21,77th, 14 minutes 36 seconds,1,31
22,83rd, 15 minutes 51 seconds,4,32
23,88th, 16 minutes 59 seconds,1,36
24,93rd, 18 minutes 10 seconds,1,37
25,106th, 21 minutes 13 seconds,1,38
