,世代,時間,出力数,前世代までの合計
0,3rd, 23 minutes 37 seconds,1,0
1,6th, 1 hours 39 minutes 9 seconds,1,1
2,7th, 2 hours 7 minutes 15 seconds,1,2
3,8th, 2 hours 37 minutes 54 seconds,1,3
4,9th, 3 hours 7 minutes 35 seconds,1,4
5,10th, 3 hours 45 minutes 9 seconds,1,5
6,12th, 5 hours 3 minutes 3 seconds,1,6
7,13th, 5 hours 48 minutes 1 seconds,1,7
8,15th, 7 hours 13 minutes 37 seconds,1,8
9,16th, 7 hours 54 minutes 52 seconds,1,9
10,17th, 8 hours 43 minutes 25 seconds,1,10
11,19th, 10 hours 9 minutes 16 seconds,1,11
12,22nd, 12 hours 10 minutes 53 seconds,1,12
13,29th, 17 hours 21 minutes 34 seconds,2,13
14,30th, 18 hours 4 minutes 25 seconds,1,15
15,31st, 18 hours 47 minutes 49 seconds,1,16
16,33rd, 20 hours 27 minutes 50 seconds,3,17
17,35th, 21 hours 51 minutes 18 seconds,3,20
18,36th, 22 hours 34 minutes 44 seconds,1,23
19,37th, 23 hours 15 minutes 53 seconds,1,24
20,38th, 24 hours 3 minutes 43 seconds,4,25
