,世代,時間,出力数,前世代までの合計
0,7th, 1 hours 51 minutes 49 seconds,1,0
1,12th, 4 hours 13 minutes 10 seconds,1,1
2,14th, 5 hours 21 minutes 18 seconds,1,2
3,16th, 6 hours 41 minutes 53 seconds,1,3
4,18th, 7 hours 51 minutes 1 seconds,1,4
5,20th, 9 hours 6 minutes 53 seconds,3,5
6,21st, 9 hours 49 minutes 45 seconds,4,8
7,22nd, 10 hours 24 minutes 39 seconds,1,12
8,24th, 11 hours 35 minutes 24 seconds,1,13
9,27th, 13 hours 39 minutes 47 seconds,1,14
10,29th, 15 hours 10 minutes 24 seconds,2,15
11,30th, 15 hours 53 minutes 5 seconds,4,17
12,31st, 16 hours 33 minutes 24 seconds,2,21
13,32nd, 17 hours 16 minutes 1 seconds,1,23
14,33rd, 18 hours 26 seconds,2,24
15,37th, 20 hours 59 minutes 5 seconds,2,26
16,38th, 21 hours 42 minutes 5 seconds,1,28
17,39th, 22 hours 26 minutes 10 seconds,2,29
18,40th, 23 hours 8 minutes 38 seconds,2,31
19,41st, 23 hours 56 minutes 13 seconds,2,33
20,42nd, 24 hours 42 minutes 20 seconds,2,35
