,世代,時間,出力数,前世代までの合計
0,1st, 4 minutes 7 seconds,1,0
1,2nd, 11 minutes 23 seconds,1,1
2,4th, 1 hours 10 minutes 31 seconds,1,2
3,6th, 1 hours 57 minutes 14 seconds,1,3
4,8th, 2 hours 57 minutes 54 seconds,2,4
5,10th, 4 hours 8 minutes 9 seconds,2,6
6,11th, 4 hours 46 minutes 57 seconds,2,8
7,12th, 5 hours 23 minutes 49 seconds,1,10
8,13th, 6 hours 10 minutes 21 seconds,5,11
9,15th, 7 hours 51 minutes 40 seconds,1,16
10,16th, 8 hours 42 minutes 30 seconds,6,17
11,17th, 9 hours 26 minutes 43 seconds,1,23
12,18th, 10 hours 10 minutes 46 seconds,2,24
13,19th, 11 hours 6 minutes 28 seconds,2,26
14,20th, 11 hours 55 minutes 55 seconds,5,28
15,21st, 12 hours 48 minutes 51 seconds,4,33
16,22nd, 13 hours 34 minutes 36 seconds,3,37
17,23rd, 14 hours 21 minutes 49 seconds,4,40
18,24th, 15 hours 16 minutes 10 seconds,4,44
19,25th, 16 hours 18 minutes 52 seconds,4,48
20,26th, 17 hours 6 minutes 10 seconds,2,52
21,27th, 17 hours 56 minutes 54 seconds,1,54
22,28th, 18 hours 45 minutes 55 seconds,4,55
23,31st, 21 hours 10 minutes 36 seconds,1,59
24,32nd, 21 hours 54 minutes 39 seconds,1,60
25,35th, 24 hours 9 minutes 7 seconds,1,61
