,世代,時間,出力数,前世代までの合計
0,4th, 1 hours 20 minutes 56 seconds,1,0
1,6th, 2 hours 6 minutes 15 seconds,1,1
2,14th, 7 hours 39 minutes 50 seconds,2,2
3,15th, 8 hours 28 minutes 20 seconds,2,4
4,16th, 9 hours 9 minutes 38 seconds,1,6
5,18th, 10 hours 45 minutes 24 seconds,1,7
6,19th, 11 hours 32 minutes 16 seconds,1,8
7,21st, 13 hours 17 minutes 8 seconds,1,9
8,22nd, 14 hours 11 minutes 22 seconds,1,10
9,25th, 16 hours 49 minutes 57 seconds,1,11
10,27th, 18 hours 25 minutes 19 seconds,1,12
11,30th, 21 hours 9 minutes 18 seconds,3,13
12,32nd, 22 hours 54 minutes 17 seconds,4,16
13,34th, 24 hours 33 minutes 29 seconds,2,20
