,世代,時間,出力数,前世代までの合計
0,1st, 5 minutes 15 seconds,1,0
1,4th, 1 hours 2 minutes 5 seconds,2,1
2,6th, 1 hours 51 minutes 36 seconds,1,3
3,9th, 3 hours 32 minutes 4 seconds,1,4
4,10th, 4 hours 5 minutes 15 seconds,1,5
5,12th, 5 hours 16 minutes 3 seconds,1,6
6,13th, 5 hours 51 minutes 17 seconds,1,7
7,14th, 6 hours 34 minutes 55 seconds,1,8
8,15th, 7 hours 14 minutes 55 seconds,1,9
9,17th, 8 hours 40 minutes 16 seconds,3,10
10,18th, 9 hours 20 minutes 7 seconds,2,13
11,19th, 10 hours 2 minutes 3 seconds,6,15
12,20th, 10 hours 46 minutes 22 seconds,6,21
13,21st, 11 hours 30 minutes 39 seconds,9,27
14,22nd, 12 hours 18 minutes 50 seconds,3,36
15,23rd, 13 hours 2 minutes 41 seconds,5,39
16,24th, 13 hours 47 minutes 29 seconds,2,44
17,25th, 14 hours 49 minutes 53 seconds,5,46
18,26th, 15 hours 38 minutes 0 seconds,2,51
19,27th, 16 hours 32 minutes 33 seconds,3,53
20,28th, 17 hours 30 minutes 8 seconds,7,56
21,29th, 18 hours 18 minutes 21 seconds,5,63
22,31st, 19 hours 50 minutes 41 seconds,2,68
23,32nd, 20 hours 37 minutes 26 seconds,4,70
24,33rd, 21 hours 23 minutes 35 seconds,1,74
25,34th, 22 hours 24 minutes 38 seconds,9,75
26,35th, 23 hours 10 minutes 29 seconds,3,84
27,36th, 23 hours 57 minutes 6 seconds,2,87
28,37th, 24 hours 44 minutes 10 seconds,2,89
