,世代,時間,出力数,前世代までの合計
0,1st, 7 minutes 58 seconds,1,0
1,2nd, 19 minutes 31 seconds,1,1
2,4th, 1 hours 58 minutes 10 seconds,1,2
3,5th, 2 hours 39 minutes 38 seconds,1,3
4,8th, 5 hours 31 minutes 51 seconds,3,4
5,9th, 6 hours 37 minutes 36 seconds,2,7
6,10th, 7 hours 53 minutes 34 seconds,1,9
7,11th, 9 hours 16 minutes 46 seconds,2,10
8,12th, 10 hours 26 minutes 52 seconds,1,12
9,14th, 13 hours 16 minutes 25 seconds,2,13
10,15th, 14 hours 49 minutes 36 seconds,3,15
11,16th, 16 hours 20 minutes 58 seconds,2,18
12,17th, 17 hours 55 minutes 43 seconds,1,20
13,18th, 19 hours 33 minutes 52 seconds,6,21
14,19th, 20 hours 58 minutes 30 seconds,3,27
15,20th, 22 hours 33 minutes 13 seconds,2,30
16,21st, 24 hours 5 minutes 26 seconds,1,32
