,世代,時間,出力数,前世代までの合計
0,3rd, 1 hours 29 minutes 42 seconds,1,0
1,5th, 3 hours 20 minutes 18 seconds,3,1
2,7th, 5 hours 41 minutes 46 seconds,1,4
3,9th, 8 hours 18 minutes 57 seconds,1,5
4,11th, 11 hours 2 minutes 58 seconds,1,6
5,12th, 12 hours 51 minutes 42 seconds,3,7
6,13th, 14 hours 24 minutes 23 seconds,1,10
7,14th, 15 hours 56 minutes 17 seconds,1,11
8,17th, 20 hours 34 minutes 0 seconds,3,12
9,18th, 22 hours 17 minutes 42 seconds,4,15
10,19th, 23 hours 51 minutes 58 seconds,3,19
11,20th, 25 hours 32 minutes 35 seconds,4,22
