,世代,時間,出力数,前世代までの合計
0,1st, 7 minutes 21 seconds,1,0
1,2nd, 22 minutes 41 seconds,1,1
2,4th, 2 hours 11 minutes 15 seconds,1,2
3,7th, 5 hours 13 minutes 17 seconds,1,3
4,10th, 9 hours 20 minutes 7 seconds,2,4
5,11th, 10 hours 46 minutes 23 seconds,1,6
6,13th, 13 hours 37 minutes 3 seconds,1,7
7,14th, 15 hours 9 minutes 20 seconds,1,8
8,15th, 16 hours 55 minutes 13 seconds,1,9
9,17th, 20 hours 20 minutes 49 seconds,1,10
10,18th, 22 hours 1 minutes 21 seconds,2,11
11,19th, 23 hours 56 minutes 5 seconds,3,13
12,20th, 25 hours 42 minutes 16 seconds,2,16
