,世代,時間,出力数,前世代までの合計
0,2nd, 19 minutes 1 seconds,1,0
1,5th, 2 hours 50 minutes 9 seconds,2,1
2,6th, 3 hours 45 minutes 50 seconds,1,3
3,7th, 4 hours 39 minutes 57 seconds,2,4
4,9th, 6 hours 54 minutes 30 seconds,2,6
5,11th, 9 hours 40 minutes 35 seconds,1,8
6,12th, 11 hours 15 minutes 16 seconds,1,9
7,14th, 14 hours 12 minutes 28 seconds,2,10
8,15th, 16 hours 16 seconds,1,12
9,17th, 18 hours 55 minutes 17 seconds,1,13
10,18th, 20 hours 25 minutes 51 seconds,3,14
11,19th, 22 hours 14 minutes 39 seconds,3,17
