,世代,時間,出力数,前世代までの合計
0,1st, 9 minutes 1 seconds,1,0
1,3rd, 1 hours 9 minutes 54 seconds,2,1
2,5th, 2 hours 40 minutes 3 seconds,4,3
3,6th, 3 hours 21 minutes 23 seconds,1,7
4,7th, 4 hours 14 minutes 34 seconds,5,8
5,8th, 5 hours 18 minutes 23 seconds,1,13
6,9th, 6 hours 19 minutes 58 seconds,1,14
7,10th, 7 hours 35 minutes 16 seconds,1,15
8,11th, 8 hours 52 minutes 14 seconds,1,16
9,12th, 10 hours 4 minutes 6 seconds,2,17
10,15th, 14 hours 10 minutes 2 seconds,2,19
11,16th, 15 hours 45 minutes 16 seconds,2,21
12,19th, 20 hours 3 minutes 38 seconds,1,23
13,20th, 21 hours 31 minutes 15 seconds,1,24
14,21st, 23 hours 3 minutes 50 seconds,4,25
15,22nd, 24 hours 33 minutes 16 seconds,4,29
