,世代,時間,出力数,前世代までの合計
0,1st, 8 minutes 21 seconds,1,0
1,4th, 2 hours 36 minutes 43 seconds,1,1
2,6th, 4 hours 25 minutes 47 seconds,1,2
3,9th, 7 hours 58 minutes 4 seconds,1,3
4,10th, 9 hours 18 minutes 34 seconds,3,4
5,12th, 12 hours 21 seconds,1,7
6,13th, 13 hours 31 minutes 0 seconds,2,8
7,14th, 15 hours 8 minutes 16 seconds,3,10
8,15th, 16 hours 48 minutes 57 seconds,1,13
9,16th, 18 hours 25 minutes 44 seconds,1,14
10,17th, 20 hours 13 minutes 49 seconds,2,15
11,18th, 21 hours 56 minutes 35 seconds,1,17
12,19th, 23 hours 31 minutes 46 seconds,1,18
