,世代,時間,出力数,前世代までの合計
0,1st, 11 seconds,1,0
1,6th, 56 seconds,3,1
2,10th, 1 minutes 46 seconds,1,4
3,21st, 10 minutes 17 seconds,1,5
4,31st, 15 minutes 43 seconds,2,6
5,32nd, 16 minutes 0 seconds,3,8
6,33rd, 19 minutes 15 seconds,1,11
7,34th, 19 minutes 31 seconds,1,12
8,38th, 26 minutes 38 seconds,1,13
9,50th, 36 minutes 16 seconds,1,14
10,51st, 36 minutes 36 seconds,1,15
11,71st, 43 minutes 56 seconds,1,16
12,72nd, 44 minutes 21 seconds,1,17
13,73rd, 44 minutes 45 seconds,2,18
14,74th, 45 minutes 8 seconds,1,20
15,76th, 45 minutes 52 seconds,2,21
16,79th, 47 minutes 5 seconds,4,23
17,80th, 50 minutes 28 seconds,4,27
18,82nd, 51 minutes 17 seconds,2,31
19,83rd, 51 minutes 41 seconds,2,33
20,84th, 52 minutes 6 seconds,2,35
21,93rd, 56 minutes 11 seconds,1,37
22,97th, 58 minutes 4 seconds,1,38
23,98th, 58 minutes 34 seconds,3,39
24,99th, 59 minutes 3 seconds,2,42
25,101st, 1 hours 4 seconds,3,44
26,102nd, 1 hours 34 seconds,1,47
27,105th, 1 hours 2 minutes 5 seconds,1,48
28,108th, 1 hours 9 minutes 35 seconds,2,49
29,114th, 1 hours 12 minutes 43 seconds,1,51
30,120th, 1 hours 15 minutes 55 seconds,1,52
31,125th, 1 hours 21 minutes 41 seconds,2,53
32,130th, 1 hours 24 minutes 34 seconds,2,55
33,131st, 1 hours 25 minutes 10 seconds,1,57
34,132nd, 1 hours 25 minutes 45 seconds,1,58
35,133rd, 1 hours 26 minutes 21 seconds,3,59
36,135th, 1 hours 27 minutes 33 seconds,1,62
37,138th, 1 hours 29 minutes 25 seconds,2,63
38,140th, 1 hours 30 minutes 38 seconds,2,65
39,142nd, 1 hours 31 minutes 52 seconds,1,67
40,143rd, 1 hours 32 minutes 29 seconds,3,68
41,144th, 1 hours 33 minutes 4 seconds,1,71
42,146th, 1 hours 34 minutes 17 seconds,3,72
43,147th, 1 hours 34 minutes 52 seconds,3,75
44,148th, 1 hours 35 minutes 26 seconds,1,78
45,150th, 1 hours 36 minutes 38 seconds,2,79
46,151st, 1 hours 37 minutes 16 seconds,1,81
47,152nd, 1 hours 37 minutes 53 seconds,2,82
48,153rd, 1 hours 38 minutes 30 seconds,4,84
49,155th, 1 hours 39 minutes 43 seconds,2,88
50,156th, 1 hours 40 minutes 20 seconds,2,90
51,160th, 1 hours 42 minutes 51 seconds,1,92
52,161st, 1 hours 43 minutes 28 seconds,1,93
53,165th, 1 hours 45 minutes 59 seconds,1,94
54,167th, 1 hours 47 minutes 17 seconds,1,95
55,168th, 1 hours 47 minutes 55 seconds,1,96
56,170th, 1 hours 49 minutes 12 seconds,1,97
57,171st, 1 hours 49 minutes 27 seconds,2,98
