,世代,時間,出力数,前世代までの合計
0,1st, 6 minutes 2 seconds,1,0
1,7th, 1 hours 27 minutes 20 seconds,3,1
2,9th, 1 hours 33 minutes 27 seconds,2,4
3,14th, 2 hours 6 minutes 51 seconds,2,6
4,17th, 2 hours 7 minutes 8 seconds,1,8
5,19th, 2 hours 7 minutes 19 seconds,1,9
6,28th, 2 hours 41 minutes 12 seconds,3,10
7,29th, 3 hours 5 minutes 18 seconds,2,13
8,31st, 3 hours 11 minutes 29 seconds,1,15
9,32nd, 3 hours 20 minutes 35 seconds,2,16
10,33rd, 3 hours 20 minutes 41 seconds,2,18
11,35th, 3 hours 20 minutes 53 seconds,1,20
12,40th, 3 hours 21 minutes 24 seconds,1,21
13,41st, 3 hours 21 minutes 30 seconds,1,22
14,47th, 3 hours 52 minutes 7 seconds,2,23
15,48th, 3 hours 52 minutes 14 seconds,1,25
16,52nd, 4 hours 1 minutes 40 seconds,1,26
17,59th, 4 hours 5 minutes 27 seconds,1,27
18,60th, 4 hours 5 minutes 34 seconds,1,28
19,63rd, 4 hours 8 minutes 55 seconds,2,29
20,64th, 4 hours 9 minutes 3 seconds,2,31
21,65th, 4 hours 9 minutes 10 seconds,1,33
22,72nd, 4 hours 16 minutes 1 seconds,1,34
23,77th, 4 hours 16 minutes 36 seconds,1,35
24,78th, 4 hours 16 minutes 44 seconds,3,36
25,82nd, 4 hours 17 minutes 16 seconds,1,39
26,88th, 4 hours 24 minutes 3 seconds,2,40
27,90th, 4 hours 27 minutes 20 seconds,1,42
28,93rd, 4 hours 39 minutes 44 seconds,1,43
29,110th, 5 hours 42 minutes 7 seconds,1,44
30,113th, 5 hours 42 minutes 33 seconds,1,45
31,116th, 5 hours 42 minutes 59 seconds,1,46
32,119th, 5 hours 43 minutes 24 seconds,1,47
33,120th, 5 hours 43 minutes 32 seconds,1,48
34,140th, 6 hours 16 minutes 26 seconds,1,49
35,142nd, 6 hours 16 minutes 46 seconds,1,50
36,147th, 6 hours 17 minutes 34 seconds,2,51
37,148th, 6 hours 17 minutes 44 seconds,2,53
38,149th, 6 hours 17 minutes 54 seconds,1,55
39,152nd, 6 hours 24 minutes 22 seconds,1,56
40,154th, 6 hours 24 minutes 39 seconds,1,57
41,175th, 6 hours 33 minutes 51 seconds,1,58
42,177th, 6 hours 34 minutes 12 seconds,1,59
43,185th, 6 hours 35 minutes 33 seconds,1,60
44,197th, 6 hours 37 minutes 34 seconds,1,61
45,201st, 6 hours 38 minutes 18 seconds,1,62
46,206th, 6 hours 39 minutes 14 seconds,1,63
47,213th, 6 hours 40 minutes 31 seconds,1,64
48,215th, 6 hours 40 minutes 54 seconds,1,65
49,231st, 6 hours 44 minutes 3 seconds,2,66
50,232nd, 6 hours 44 minutes 14 seconds,1,68
51,234th, 6 hours 44 minutes 37 seconds,1,69
52,242nd, 6 hours 49 minutes 12 seconds,1,70
53,253rd, 6 hours 51 minutes 29 seconds,1,71
54,286th, 6 hours 58 minutes 36 seconds,1,72
55,300th, 7 hours 1 minutes 59 seconds,1,73
56,332nd, 7 hours 21 minutes 46 seconds,1,74
57,366th, 8 hours 19 seconds,1,75
58,367th, 8 hours 35 seconds,1,76
59,375th, 8 hours 8 minutes 39 seconds,1,77
60,399th, 8 hours 15 minutes 14 seconds,1,78
61,423rd, 8 hours 34 minutes 17 seconds,1,79
62,428th, 8 hours 35 minutes 46 seconds,1,80
63,438th, 8 hours 38 minutes 52 seconds,1,81
64,454th, 8 hours 44 minutes 7 seconds,2,82
65,463rd, 8 hours 53 minutes 2 seconds,1,84
66,472nd, 8 hours 55 minutes 53 seconds,1,85
