,世代,時間,出力数,前世代までの合計
0,2nd, 3 seconds,3,0
1,3rd, 6 seconds,2,3
2,11th, 27 minutes 33 seconds,1,5
3,13th, 27 minutes 42 seconds,1,6
4,17th, 36 minutes 58 seconds,2,7
5,20th, 42 minutes 3 seconds,1,9
6,21st, 42 minutes 7 seconds,1,10
7,26th, 54 minutes 32 seconds,1,11
8,27th, 1 hours 38 seconds,2,12
9,28th, 1 hours 42 seconds,2,14
10,31st, 1 hours 57 seconds,2,16
11,34th, 1 hours 1 minutes 10 seconds,1,18
12,36th, 1 hours 10 minutes 19 seconds,1,19
13,48th, 1 hours 32 minutes 19 seconds,1,20
14,50th, 1 hours 32 minutes 28 seconds,1,21
15,51st, 1 hours 34 minutes 22 seconds,1,22
16,53rd, 1 hours 43 minutes 34 seconds,1,23
17,55th, 1 hours 43 minutes 46 seconds,1,24
18,56th, 1 hours 49 minutes 52 seconds,1,25
19,58th, 2 hours 2 minutes 3 seconds,1,26
20,59th, 2 hours 2 minutes 9 seconds,1,27
21,60th, 2 hours 2 minutes 15 seconds,1,28
22,62nd, 2 hours 5 minutes 27 seconds,3,29
23,64th, 2 hours 5 minutes 39 seconds,1,32
24,66th, 2 hours 41 minutes 51 seconds,2,33
25,69th, 2 hours 48 minutes 12 seconds,2,35
26,71st, 2 hours 57 minutes 27 seconds,2,37
27,72nd, 2 hours 57 minutes 34 seconds,1,39
28,73rd, 3 hours 41 seconds,3,40
29,74th, 3 hours 47 seconds,1,43
30,76th, 3 hours 10 minutes 1 seconds,1,44
31,79th, 3 hours 16 minutes 21 seconds,1,45
32,82nd, 3 hours 25 minutes 40 seconds,1,46
33,84th, 3 hours 31 minutes 52 seconds,2,47
34,87th, 3 hours 35 minutes 13 seconds,2,49
35,88th, 3 hours 38 minutes 19 seconds,3,51
36,91st, 3 hours 38 minutes 39 seconds,1,54
37,96th, 3 hours 48 minutes 11 seconds,2,55
38,98th, 4 hours 18 minutes 24 seconds,1,57
39,99th, 4 hours 21 minutes 31 seconds,1,58
40,100th, 4 hours 21 minutes 38 seconds,1,59
41,101st, 4 hours 21 minutes 43 seconds,2,60
42,107th, 4 hours 25 minutes 24 seconds,1,62
43,108th, 4 hours 25 minutes 31 seconds,1,63
44,113th, 4 hours 35 minutes 3 seconds,1,64
45,114th, 4 hours 39 minutes 18 seconds,2,65
46,117th, 4 hours 39 minutes 37 seconds,1,67
47,119th, 4 hours 48 minutes 52 seconds,1,68
48,120th, 4 hours 51 minutes 58 seconds,1,69
49,121st, 4 hours 52 minutes 6 seconds,1,70
50,122nd, 4 hours 52 minutes 12 seconds,1,71
51,123rd, 4 hours 52 minutes 19 seconds,2,72
52,124th, 4 hours 52 minutes 26 seconds,1,74
53,125th, 4 hours 52 minutes 33 seconds,1,75
54,127th, 4 hours 55 minutes 48 seconds,1,76
55,128th, 5 hours 4 minutes 55 seconds,1,77
56,129th, 5 hours 5 minutes 3 seconds,2,78
57,132nd, 5 hours 5 minutes 24 seconds,2,80
58,133rd, 5 hours 11 minutes 31 seconds,1,82
59,136th, 5 hours 11 minutes 51 seconds,1,83
60,137th, 5 hours 11 minutes 58 seconds,2,84
61,139th, 5 hours 12 minutes 12 seconds,1,86
62,140th, 5 hours 12 minutes 20 seconds,2,87
63,142nd, 5 hours 42 minutes 35 seconds,2,89
64,145th, 5 hours 48 minutes 54 seconds,1,91
65,146th, 5 hours 55 minutes 0 seconds,1,92
66,152nd, 6 hours 1 minutes 44 seconds,1,93
67,153rd, 6 hours 1 minutes 51 seconds,2,94
68,160th, 6 hours 2 minutes 40 seconds,2,96
69,162nd, 6 hours 2 minutes 55 seconds,1,98
70,163rd, 6 hours 2 minutes 57 seconds,1,99
