,世代,時間,出力数,前世代までの合計
0,1st, 6 minutes 2 seconds,1,0
1,3rd, 42 minutes 7 seconds,2,1
2,4th, 42 minutes 9 seconds,1,3
3,7th, 1 hours 12 minutes 15 seconds,1,4
4,10th, 1 hours 15 minutes 25 seconds,1,5
5,12th, 1 hours 15 minutes 32 seconds,1,6
6,15th, 1 hours 33 minutes 43 seconds,2,7
7,17th, 2 hours 50 seconds,2,9
8,25th, 2 hours 28 minutes 27 seconds,1,11
9,28th, 2 hours 37 minutes 41 seconds,1,12
10,29th, 2 hours 37 minutes 46 seconds,1,13
11,30th, 2 hours 37 minutes 51 seconds,2,14
12,32nd, 2 hours 44 minutes 0 seconds,1,16
13,33rd, 2 hours 44 minutes 5 seconds,3,17
14,34th, 2 hours 44 minutes 10 seconds,2,20
15,35th, 2 hours 47 minutes 15 seconds,3,22
16,40th, 2 hours 49 minutes 26 seconds,2,25
17,44th, 2 hours 52 minutes 44 seconds,1,27
18,46th, 2 hours 58 minutes 54 seconds,1,28
19,47th, 2 hours 58 minutes 59 seconds,1,29
20,50th, 3 hours 56 minutes 13 seconds,1,30
21,51st, 3 hours 56 minutes 19 seconds,2,31
22,52nd, 4 hours 2 minutes 24 seconds,2,33
23,53rd, 4 hours 35 minutes 29 seconds,1,35
24,54th, 4 hours 38 minutes 34 seconds,2,36
25,55th, 4 hours 44 minutes 39 seconds,1,38
26,56th, 4 hours 44 minutes 45 seconds,1,39
27,59th, 4 hours 54 minutes 0 seconds,1,40
28,63rd, 5 hours 16 minutes 31 seconds,1,41
29,66th, 5 hours 22 minutes 47 seconds,1,42
30,68th, 5 hours 28 minutes 59 seconds,1,43
31,69th, 5 hours 29 minutes 4 seconds,1,44
32,72nd, 5 hours 29 minutes 21 seconds,1,45
33,74th, 5 hours 35 minutes 31 seconds,1,46
34,78th, 5 hours 35 minutes 52 seconds,1,47
35,79th, 5 hours 35 minutes 58 seconds,1,48
36,81st, 5 hours 42 minutes 9 seconds,1,49
37,82nd, 5 hours 42 minutes 14 seconds,2,50
38,85th, 5 hours 42 minutes 30 seconds,1,52
39,86th, 5 hours 42 minutes 36 seconds,1,53
40,87th, 5 hours 42 minutes 41 seconds,1,54
41,90th, 6 hours 3 minutes 58 seconds,1,55
42,92nd, 6 hours 10 minutes 8 seconds,2,56
43,97th, 6 hours 30 minutes 35 seconds,1,58
44,98th, 6 hours 39 minutes 40 seconds,1,59
45,100th, 7 hours 13 minutes 58 seconds,1,60
46,102nd, 7 hours 14 minutes 9 seconds,2,61
47,103rd, 7 hours 14 minutes 14 seconds,1,63
48,104th, 7 hours 14 minutes 20 seconds,1,64
49,105th, 7 hours 14 minutes 25 seconds,1,65
50,106th, 7 hours 17 minutes 31 seconds,2,66
51,107th, 7 hours 17 minutes 36 seconds,2,68
52,108th, 7 hours 17 minutes 41 seconds,1,70
53,110th, 7 hours 50 minutes 51 seconds,2,71
54,111th, 7 hours 53 minutes 56 seconds,2,73
55,112th, 8 hours 1 seconds,1,75
56,114th, 8 hours 3 minutes 12 seconds,1,76
57,116th, 8 hours 33 minutes 23 seconds,1,77
58,117th, 8 hours 36 minutes 29 seconds,2,78
59,118th, 8 hours 42 minutes 35 seconds,2,80
60,119th, 8 hours 45 minutes 41 seconds,1,82
61,121st, 8 hours 51 minutes 52 seconds,2,83
62,122nd, 8 hours 57 minutes 58 seconds,3,85
63,124th, 9 hours 22 minutes 10 seconds,2,88
64,126th, 9 hours 28 minutes 20 seconds,3,90
65,127th, 9 hours 31 minutes 28 seconds,3,93
66,128th, 9 hours 31 minutes 33 seconds,2,96
67,129th, 9 hours 40 minutes 38 seconds,1,98
68,130th, 9 hours 40 minutes 39 seconds,1,99
