,世代,時間,出力数,前世代までの合計
0,2nd, 3 seconds,1,0
1,3rd, 6 seconds,2,1
2,4th, 6 minutes 9 seconds,5,3
3,6th, 21 minutes 15 seconds,1,8
4,7th, 24 minutes 19 seconds,2,9
5,8th, 48 minutes 23 seconds,1,11
6,11th, 51 minutes 36 seconds,2,12
7,13th, 57 minutes 43 seconds,1,14
8,14th, 1 hours 21 minutes 47 seconds,2,15
9,17th, 1 hours 31 minutes 0 seconds,1,17
10,18th, 1 hours 31 minutes 5 seconds,2,18
11,21st, 1 hours 37 minutes 17 seconds,2,20
12,25th, 1 hours 40 minutes 36 seconds,1,22
13,26th, 1 hours 40 minutes 41 seconds,1,23
14,27th, 1 hours 46 minutes 46 seconds,1,24
15,28th, 1 hours 52 minutes 51 seconds,3,25
16,29th, 2 hours 4 minutes 57 seconds,2,28
17,30th, 2 hours 5 minutes 1 seconds,2,30
18,31st, 2 hours 5 minutes 7 seconds,1,32
19,32nd, 2 hours 5 minutes 12 seconds,1,33
20,33rd, 2 hours 5 minutes 17 seconds,2,34
21,38th, 2 hours 14 minutes 40 seconds,1,36
22,39th, 2 hours 20 minutes 44 seconds,2,37
23,40th, 2 hours 20 minutes 49 seconds,1,39
24,41st, 2 hours 20 minutes 54 seconds,1,40
25,42nd, 2 hours 20 minutes 59 seconds,1,41
26,43rd, 2 hours 24 minutes 4 seconds,1,42
27,45th, 2 hours 33 minutes 16 seconds,1,43
28,48th, 2 hours 33 minutes 32 seconds,1,44
29,50th, 2 hours 36 minutes 42 seconds,1,45
30,53rd, 2 hours 36 minutes 56 seconds,1,46
31,54th, 2 hours 37 minutes 1 seconds,1,47
32,55th, 2 hours 37 minutes 6 seconds,1,48
33,57th, 2 hours 40 minutes 15 seconds,2,49
34,58th, 2 hours 40 minutes 21 seconds,2,51
35,59th, 2 hours 40 minutes 26 seconds,1,53
36,60th, 2 hours 46 minutes 32 seconds,1,54
37,61st, 2 hours 49 minutes 37 seconds,1,55
38,65th, 3 hours 5 minutes 20 seconds,2,56
39,66th, 3 hours 5 minutes 25 seconds,1,58
40,69th, 3 hours 11 minutes 38 seconds,1,59
41,70th, 3 hours 11 minutes 43 seconds,2,60
42,71st, 3 hours 41 minutes 48 seconds,1,62
43,73rd, 3 hours 47 minutes 59 seconds,2,63
44,76th, 3 hours 54 minutes 16 seconds,1,65
45,77th, 3 hours 57 minutes 22 seconds,1,66
46,79th, 4 hours 35 seconds,4,67
47,80th, 4 hours 41 seconds,2,71
48,81st, 4 hours 47 seconds,3,73
49,82nd, 4 hours 54 seconds,5,76
50,83rd, 4 hours 59 seconds,1,81
51,84th, 4 hours 4 minutes 6 seconds,1,82
52,85th, 4 hours 4 minutes 12 seconds,1,83
53,86th, 4 hours 4 minutes 18 seconds,2,84
54,87th, 4 hours 4 minutes 24 seconds,1,86
55,89th, 4 hours 7 minutes 36 seconds,1,87
56,92nd, 4 hours 40 minutes 55 seconds,1,88
57,93rd, 4 hours 44 minutes 1 seconds,1,89
58,94th, 4 hours 44 minutes 7 seconds,1,90
59,96th, 4 hours 47 minutes 19 seconds,1,91
60,98th, 4 hours 50 minutes 32 seconds,1,92
61,99th, 4 hours 50 minutes 38 seconds,1,93
62,101st, 4 hours 50 minutes 51 seconds,3,94
63,102nd, 4 hours 56 minutes 57 seconds,2,97
64,107th, 5 hours 42 minutes 28 seconds,1,99
