,世代,時間,出力数,前世代までの合計
0,3rd, 11 seconds,3,0
1,4th, 17 seconds,2,3
2,5th, 22 seconds,2,5
3,6th, 26 seconds,1,7
4,7th, 32 seconds,2,8
5,20th, 1 hours 41 minutes 23 seconds,1,10
6,23rd, 2 hours 47 minutes 57 seconds,1,11
7,68th, 9 hours 32 minutes 44 seconds,1,12
8,75th, 11 hours 52 minutes 12 seconds,2,13
9,79th, 12 hours 29 minutes 8 seconds,1,15
10,96th, 14 hours 11 minutes 58 seconds,1,16
11,117th, 17 hours 1 minutes 23 seconds,1,17
12,143rd, 20 hours 25 minutes 40 seconds,1,18
13,146th, 20 hours 26 minutes 24 seconds,1,19
14,178th, 21 hours 43 minutes 46 seconds,1,20
