,世代,時間,出力数,前世代までの合計
0,2nd, 27 seconds,1,0
1,3rd, 46 seconds,1,1
2,6th, 1 minutes 37 seconds,1,2
3,8th, 8 minutes 22 seconds,1,3
4,13th, 13 minutes 15 seconds,1,4
5,16th, 23 minutes 25 seconds,2,5
6,18th, 30 minutes 13 seconds,1,7
7,19th, 39 minutes 35 seconds,1,8
8,20th, 1 hours 15 minutes 56 seconds,4,9
9,21st, 1 hours 19 minutes 17 seconds,2,13
10,25th, 1 hours 32 minutes 54 seconds,2,15
11,29th, 1 hours 49 minutes 23 seconds,2,17
12,33rd, 1 hours 50 minutes 57 seconds,1,19
13,37th, 1 hours 55 minutes 38 seconds,3,20
14,38th, 1 hours 59 minutes 3 seconds,1,23
15,41st, 2 hours 6 minutes 21 seconds,1,24
16,44th, 2 hours 37 minutes 37 seconds,1,25
17,49th, 4 hours 9 minutes 34 seconds,1,26
18,53rd, 4 hours 20 minutes 15 seconds,1,27
19,55th, 4 hours 27 minutes 4 seconds,3,28
20,58th, 4 hours 37 minutes 18 seconds,1,31
21,62nd, 4 hours 38 minutes 56 seconds,1,32
22,70th, 4 hours 42 minutes 31 seconds,1,33
23,72nd, 4 hours 46 minutes 25 seconds,1,34
24,76th, 4 hours 51 minutes 19 seconds,1,35
25,79th, 4 hours 52 minutes 38 seconds,1,36
26,84th, 5 hours 9 minutes 51 seconds,1,37
27,85th, 5 hours 16 minutes 16 seconds,1,38
28,87th, 5 hours 32 minutes 13 seconds,1,39
29,88th, 5 hours 38 minutes 39 seconds,1,40
30,92nd, 5 hours 58 minutes 27 seconds,1,41
31,96th, 6 hours 18 minutes 25 seconds,1,42
32,100th, 6 hours 32 minutes 20 seconds,1,43
33,103rd, 7 hours 18 minutes 47 seconds,2,44
34,107th, 8 hours 26 minutes 27 seconds,1,46
35,110th, 8 hours 57 minutes 46 seconds,2,47
36,113th, 9 hours 38 minutes 3 seconds,1,49
37,115th, 9 hours 39 minutes 2 seconds,1,50
38,120th, 9 hours 56 minutes 19 seconds,1,51
39,122nd, 10 hours 16 seconds,1,52
40,126th, 10 hours 41 minutes 19 seconds,1,53
41,127th, 10 hours 41 minutes 50 seconds,1,54
42,130th, 10 hours 58 minutes 20 seconds,1,55
43,135th, 11 hours 45 minutes 52 seconds,1,56
44,137th, 12 hours 10 minutes 52 seconds,1,57
45,138th, 12 hours 20 minutes 30 seconds,2,58
46,139th, 12 hours 30 minutes 7 seconds,1,60
47,141st, 12 hours 43 minutes 9 seconds,1,61
48,142nd, 12 hours 46 minutes 36 seconds,2,62
49,144th, 12 hours 47 minutes 29 seconds,1,64
50,145th, 12 hours 50 minutes 56 seconds,2,65
51,147th, 12 hours 51 minutes 52 seconds,1,67
52,149th, 12 hours 52 minutes 51 seconds,2,68
53,155th, 13 hours 38 minutes 8 seconds,1,70
54,163rd, 14 hours 15 minutes 24 seconds,1,71
55,164th, 14 hours 15 minutes 59 seconds,3,72
56,167th, 14 hours 17 minutes 37 seconds,2,75
57,169th, 14 hours 24 minutes 52 seconds,1,77
58,171st, 14 hours 59 minutes 7 seconds,2,78
59,172nd, 14 hours 59 minutes 43 seconds,1,80
60,177th, 15 hours 11 minutes 23 seconds,2,81
61,178th, 15 hours 11 minutes 55 seconds,1,83
62,184th, 15 hours 15 minutes 22 seconds,1,84
63,186th, 15 hours 22 minutes 32 seconds,1,85
64,189th, 15 hours 36 minutes 16 seconds,1,86
65,191st, 15 hours 37 minutes 23 seconds,1,87
66,192nd, 15 hours 37 minutes 59 seconds,1,88
67,194th, 16 hours 3 minutes 14 seconds,2,89
68,198th, 16 hours 47 minutes 35 seconds,1,91
69,199th, 17 hours 10 seconds,1,92
70,202nd, 17 hours 40 minutes 57 seconds,2,93
71,203rd, 17 hours 53 minutes 35 seconds,1,95
72,204th, 18 hours 3 minutes 6 seconds,1,96
73,210th, 18 hours 45 minutes 7 seconds,1,97
74,219th, 19 hours 34 minutes 58 seconds,1,98
75,220th, 19 hours 35 minutes 10 seconds,1,99
