,世代,時間,出力数,前世代までの合計
0,5th, 4 minutes 22 seconds,1,0
1,6th, 4 minutes 40 seconds,2,1
2,8th, 5 minutes 16 seconds,2,3
3,13th, 7 minutes 24 seconds,1,5
4,15th, 20 minutes 19 seconds,2,6
5,17th, 24 minutes 17 seconds,2,8
6,19th, 28 minutes 17 seconds,2,10
7,21st, 35 minutes 6 seconds,1,12
8,22nd, 38 minutes 33 seconds,2,13
9,24th, 42 minutes 24 seconds,1,15
10,25th, 45 minutes 47 seconds,1,16
11,26th, 46 minutes 11 seconds,1,17
12,27th, 52 minutes 39 seconds,2,18
13,31st, 1 hours 17 seconds,1,20
14,32nd, 1 hours 12 minutes 43 seconds,1,21
15,33rd, 1 hours 25 minutes 8 seconds,1,22
16,37th, 2 hours 18 minutes 9 seconds,2,23
17,42nd, 3 hours 41 minutes 32 seconds,1,25
18,46th, 5 hours 1 minutes 30 seconds,1,26
19,47th, 5 hours 4 minutes 54 seconds,1,27
20,48th, 5 hours 11 minutes 16 seconds,1,28
21,49th, 5 hours 29 minutes 45 seconds,1,29
22,50th, 5 hours 45 minutes 13 seconds,1,30
23,54th, 6 hours 32 minutes 6 seconds,2,31
24,56th, 7 hours 3 minutes 5 seconds,4,33
25,57th, 7 hours 27 minutes 36 seconds,1,37
26,63rd, 9 hours 21 minutes 2 seconds,1,38
27,74th, 11 hours 36 minutes 58 seconds,1,39
28,77th, 11 hours 49 minutes 55 seconds,1,40
29,78th, 11 hours 50 minutes 15 seconds,1,41
30,80th, 12 hours 2 minutes 56 seconds,2,42
31,81st, 12 hours 9 minutes 18 seconds,1,44
32,82nd, 12 hours 15 minutes 41 seconds,1,45
33,83rd, 12 hours 25 minutes 1 seconds,1,46
34,85th, 12 hours 37 minutes 45 seconds,3,47
35,86th, 12 hours 38 minutes 6 seconds,4,50
36,87th, 12 hours 41 minutes 25 seconds,1,54
37,88th, 12 hours 44 minutes 45 seconds,3,55
38,90th, 12 hours 45 minutes 25 seconds,2,58
39,91st, 12 hours 48 minutes 45 seconds,4,60
40,92nd, 12 hours 49 minutes 5 seconds,1,64
41,93rd, 12 hours 49 minutes 27 seconds,4,65
42,94th, 12 hours 55 minutes 46 seconds,1,69
43,95th, 12 hours 56 minutes 7 seconds,3,70
44,97th, 12 hours 59 minutes 47 seconds,1,73
45,98th, 13 hours 11 seconds,1,74
46,104th, 13 hours 2 minutes 29 seconds,1,75
47,105th, 13 hours 8 minutes 52 seconds,1,76
48,114th, 13 hours 18 minutes 41 seconds,1,77
49,116th, 13 hours 25 minutes 36 seconds,1,78
50,117th, 13 hours 26 minutes 5 seconds,2,79
51,118th, 13 hours 26 minutes 30 seconds,1,81
52,120th, 13 hours 27 minutes 26 seconds,1,82
53,130th, 14 hours 14 minutes 10 seconds,1,83
54,143rd, 14 hours 56 minutes 13 seconds,1,84
55,150th, 15 hours 5 minutes 40 seconds,2,85
56,151st, 15 hours 6 minutes 12 seconds,1,87
57,152nd, 15 hours 6 minutes 44 seconds,1,88
58,157th, 15 hours 15 minutes 18 seconds,1,89
59,158th, 15 hours 15 minutes 53 seconds,1,90
60,161st, 15 hours 29 minutes 34 seconds,2,91
61,162nd, 15 hours 30 minutes 7 seconds,1,93
62,166th, 15 hours 32 minutes 17 seconds,1,94
63,168th, 15 hours 36 minutes 25 seconds,1,95
64,170th, 15 hours 37 minutes 35 seconds,3,96
65,171st, 15 hours 37 minutes 40 seconds,1,99
