,世代,時間,出力数,前世代までの合計
0,2nd, 24 seconds,1,0
1,13th, 13 minutes 17 seconds,1,1
2,14th, 13 minutes 41 seconds,1,2
3,16th, 14 minutes 26 seconds,1,3
4,22nd, 25 minutes 34 seconds,1,4
5,23rd, 34 minutes 54 seconds,1,5
6,26th, 1 hours 18 minutes 0 seconds,1,6
7,29th, 1 hours 19 minutes 2 seconds,1,7
8,31st, 1 hours 19 minutes 44 seconds,1,8
9,32nd, 1 hours 26 minutes 7 seconds,1,9
10,33rd, 2 hours 2 minutes 29 seconds,1,10
11,41st, 3 hours 32 minutes 27 seconds,1,11
12,43rd, 4 hours 24 minutes 8 seconds,1,12
13,46th, 4 hours 55 minutes 22 seconds,1,13
14,49th, 5 hours 26 minutes 25 seconds,1,14
15,50th, 5 hours 29 minutes 49 seconds,1,15
16,53rd, 6 hours 9 minutes 51 seconds,1,16
17,57th, 6 hours 56 minutes 15 seconds,1,17
18,58th, 7 hours 5 minutes 31 seconds,1,18
19,65th, 8 hours 20 minutes 4 seconds,1,19
20,69th, 8 hours 51 minutes 22 seconds,1,20
21,75th, 11 hours 11 minutes 31 seconds,1,21
22,79th, 12 hours 27 minutes 45 seconds,1,22
23,81st, 13 hours 1 minutes 29 seconds,1,23
24,82nd, 13 hours 7 minutes 48 seconds,1,24
25,85th, 13 hours 59 minutes 51 seconds,1,25
26,87th, 14 hours 36 minutes 27 seconds,1,26
27,88th, 14 hours 48 minutes 47 seconds,1,27
28,90th, 14 hours 58 minutes 22 seconds,1,28
29,91st, 15 hours 1 minutes 43 seconds,1,29
30,93rd, 15 hours 5 minutes 24 seconds,1,30
31,96th, 15 hours 12 minutes 17 seconds,1,31
32,105th, 15 hours 29 minutes 43 seconds,1,32
33,106th, 15 hours 32 minutes 58 seconds,1,33
34,112th, 16 hours 7 minutes 41 seconds,1,34
35,113th, 16 hours 7 minutes 58 seconds,1,35
36,114th, 16 hours 8 minutes 16 seconds,1,36
37,118th, 16 hours 12 minutes 28 seconds,2,37
38,119th, 16 hours 42 minutes 45 seconds,2,39
39,126th, 17 hours 6 minutes 2 seconds,1,41
40,129th, 17 hours 6 minutes 56 seconds,1,42
41,130th, 17 hours 7 minutes 13 seconds,1,43
42,135th, 17 hours 11 minutes 46 seconds,1,44
43,138th, 17 hours 12 minutes 48 seconds,1,45
44,141st, 17 hours 22 minutes 44 seconds,2,46
45,148th, 17 hours 28 minutes 5 seconds,2,48
46,151st, 17 hours 35 minutes 5 seconds,1,50
47,152nd, 17 hours 35 minutes 26 seconds,1,51
48,153rd, 17 hours 35 minutes 47 seconds,1,52
49,172nd, 17 hours 45 minutes 25 seconds,1,53
50,209th, 19 hours 2 minutes 11 seconds,1,54
51,244th, 21 hours 58 minutes 27 seconds,1,55
52,248th, 22 hours 36 minutes 4 seconds,1,56
53,251st, 23 hours 1 minutes 12 seconds,1,57
