,世代,時間,出力数,前世代までの合計
0,10th, 1 hours 53 minutes 30 seconds,1,0
1,12th, 2 hours 18 minutes 6 seconds,1,1
2,16th, 3 hours 4 minutes 17 seconds,2,2
3,18th, 3 hours 25 minutes 52 seconds,1,4
4,19th, 3 hours 35 minutes 12 seconds,1,5
5,21st, 3 hours 44 minutes 45 seconds,1,6
6,28th, 5 hours 10 minutes 43 seconds,1,7
7,30th, 5 hours 26 minutes 13 seconds,1,8
8,31st, 5 hours 26 minutes 28 seconds,2,9
9,32nd, 5 hours 29 minutes 45 seconds,2,11
10,35th, 5 hours 48 minutes 33 seconds,1,13
11,39th, 6 hours 22 minutes 38 seconds,2,14
12,41st, 6 hours 32 minutes 11 seconds,1,16
13,48th, 7 hours 58 minutes 16 seconds,1,17
14,49th, 8 hours 7 minutes 37 seconds,2,18
15,52nd, 8 hours 26 minutes 29 seconds,1,20
16,63rd, 13 hours 5 minutes 37 seconds,1,21
17,66th, 14 hours 9 minutes 29 seconds,1,22
18,69th, 15 hours 10 minutes 19 seconds,1,23
19,72nd, 16 hours 29 minutes 18 seconds,2,24
20,75th, 17 hours 24 minutes 15 seconds,1,26
21,77th, 18 hours 24 minutes 54 seconds,5,27
22,78th, 18 hours 37 minutes 14 seconds,5,32
23,79th, 18 hours 52 minutes 36 seconds,3,37
24,80th, 19 hours 4 minutes 55 seconds,3,40
25,82nd, 19 hours 38 minutes 33 seconds,3,43
26,83rd, 19 hours 44 minutes 51 seconds,4,46
27,84th, 19 hours 54 minutes 13 seconds,3,50
28,90th, 21 hours 14 minutes 5 seconds,2,53
29,91st, 21 hours 44 minutes 24 seconds,1,55
30,94th, 22 hours 33 minutes 24 seconds,1,56
31,98th, 23 hours 31 minutes 46 seconds,4,57
32,99th, 23 hours 47 minutes 5 seconds,2,61
33,100th, 24 hours 5 minutes 24 seconds,1,63
