,世代,時間,出力数,前世代までの合計
0,4th, 3 minutes 47 seconds,1,0
1,5th, 34 minutes 2 seconds,1,1
2,6th, 34 minutes 15 seconds,1,2
3,9th, 38 minutes 5 seconds,1,3
4,10th, 50 minutes 25 seconds,1,4
5,12th, 53 minutes 59 seconds,1,5
6,14th, 57 minutes 33 seconds,1,6
7,16th, 58 minutes 4 seconds,2,7
8,18th, 1 hours 1 minutes 40 seconds,1,9
9,20th, 1 hours 8 minutes 14 seconds,1,10
10,21st, 1 hours 8 minutes 29 seconds,1,11
11,26th, 1 hours 10 minutes 3 seconds,2,12
12,27th, 1 hours 10 minutes 22 seconds,3,14
13,29th, 1 hours 17 minutes 2 seconds,1,17
14,31st, 1 hours 20 minutes 37 seconds,1,18
15,33rd, 1 hours 33 minutes 17 seconds,1,19
16,38th, 1 hours 34 minutes 55 seconds,1,20
17,42nd, 1 hours 42 minutes 17 seconds,1,21
18,47th, 1 hours 55 minutes 53 seconds,1,22
19,48th, 1 hours 56 minutes 13 seconds,1,23
20,53rd, 2 hours 49 seconds,1,24
21,55th, 2 hours 4 minutes 30 seconds,1,25
22,56th, 2 hours 7 minutes 51 seconds,1,26
23,63rd, 2 hours 46 minutes 18 seconds,1,27
24,67th, 2 hours 56 minutes 42 seconds,1,28
25,74th, 3 hours 8 minutes 18 seconds,2,29
26,79th, 3 hours 25 minutes 13 seconds,2,31
27,82nd, 3 hours 38 minutes 16 seconds,1,33
28,84th, 3 hours 44 minutes 57 seconds,1,34
29,87th, 3 hours 57 minutes 55 seconds,1,35
30,88th, 4 hours 7 minutes 19 seconds,1,36
31,89th, 4 hours 7 minutes 41 seconds,1,37
32,90th, 4 hours 11 minutes 3 seconds,1,38
33,92nd, 4 hours 23 minutes 52 seconds,2,39
34,94th, 4 hours 33 minutes 35 seconds,1,41
35,96th, 4 hours 55 minutes 21 seconds,1,42
36,97th, 4 hours 58 minutes 44 seconds,1,43
37,100th, 5 hours 8 minutes 49 seconds,1,44
38,101st, 5 hours 9 minutes 12 seconds,1,45
39,103rd, 5 hours 15 minutes 57 seconds,1,46
40,105th, 5 hours 43 minutes 43 seconds,1,47
41,106th, 6 hours 2 minutes 6 seconds,2,48
42,108th, 6 hours 17 minutes 54 seconds,1,50
43,111th, 6 hours 43 minutes 9 seconds,2,51
44,115th, 7 hours 20 minutes 39 seconds,2,53
45,122nd, 7 hours 44 minutes 21 seconds,2,55
46,126th, 8 hours 1 minutes 0 seconds,1,57
47,129th, 8 hours 44 minutes 21 seconds,1,58
48,130th, 8 hours 47 minutes 45 seconds,1,59
49,131st, 9 hours 12 seconds,1,60
50,135th, 9 hours 10 minutes 57 seconds,1,61
51,137th, 9 hours 20 minutes 51 seconds,1,62
52,138th, 9 hours 24 minutes 18 seconds,1,63
53,139th, 9 hours 27 minutes 46 seconds,1,64
54,140th, 9 hours 28 minutes 12 seconds,2,65
55,141st, 9 hours 31 minutes 39 seconds,1,67
56,143rd, 9 hours 32 minutes 29 seconds,1,68
57,146th, 9 hours 36 minutes 49 seconds,1,69
58,147th, 9 hours 43 minutes 18 seconds,1,70
59,149th, 9 hours 53 minutes 14 seconds,2,71
60,152nd, 9 hours 54 minutes 38 seconds,1,73
61,154th, 9 hours 58 minutes 32 seconds,1,74
62,155th, 9 hours 59 minutes 0 seconds,1,75
63,156th, 9 hours 59 minutes 28 seconds,1,76
64,158th, 10 hours 3 minutes 23 seconds,1,77
65,163rd, 10 hours 8 minutes 42 seconds,1,78
66,164th, 10 hours 9 minutes 10 seconds,1,79
67,166th, 10 hours 10 minutes 3 seconds,1,80
68,168th, 10 hours 13 minutes 54 seconds,2,81
69,170th, 10 hours 14 minutes 51 seconds,1,83
70,171st, 10 hours 18 minutes 22 seconds,1,84
71,173rd, 10 hours 19 minutes 22 seconds,1,85
72,175th, 10 hours 20 minutes 23 seconds,1,86
73,176th, 10 hours 20 minutes 51 seconds,1,87
74,183rd, 10 hours 45 minutes 25 seconds,2,88
75,185th, 10 hours 46 minutes 26 seconds,2,90
76,189th, 10 hours 51 minutes 26 seconds,1,92
77,192nd, 10 hours 55 minutes 54 seconds,1,93
78,193rd, 10 hours 56 minutes 26 seconds,1,94
79,198th, 10 hours 59 minutes 10 seconds,1,95
80,200th, 11 hours 30 minutes 15 seconds,3,96
81,204th, 11 hours 34 minutes 54 seconds,1,99
