,世代,時間,出力数,前世代までの合計
0,1st, 8 seconds,1,0
1,3rd, 6 minutes 32 seconds,1,1
2,7th, 13 minutes 37 seconds,1,2
3,8th, 13 minutes 53 seconds,1,3
4,9th, 14 minutes 11 seconds,1,4
5,10th, 14 minutes 31 seconds,2,5
6,15th, 51 minutes 58 seconds,1,7
7,17th, 58 minutes 34 seconds,1,8
8,19th, 1 hours 5 minutes 12 seconds,1,9
9,21st, 1 hours 20 minutes 50 seconds,1,10
10,22nd, 1 hours 24 minutes 7 seconds,2,11
11,24th, 1 hours 36 minutes 43 seconds,1,13
12,25th, 1 hours 43 minutes 0 seconds,1,14
13,26th, 1 hours 43 minutes 18 seconds,1,15
14,27th, 1 hours 52 minutes 38 seconds,1,16
15,29th, 2 hours 2 minutes 12 seconds,1,17
16,30th, 2 hours 5 minutes 30 seconds,1,18
17,34th, 3 hours 46 seconds,2,19
18,35th, 3 hours 10 minutes 4 seconds,2,21
19,36th, 3 hours 25 minutes 22 seconds,1,23
20,37th, 3 hours 46 minutes 42 seconds,2,24
21,38th, 4 hours 2 minutes 0 seconds,1,26
22,39th, 4 hours 17 minutes 20 seconds,1,27
23,41st, 4 hours 50 minutes 58 seconds,2,28
24,42nd, 5 hours 15 minutes 19 seconds,1,30
25,44th, 6 hours 58 seconds,1,31
26,46th, 6 hours 19 minutes 36 seconds,1,32
27,50th, 6 hours 29 minutes 54 seconds,3,33
28,52nd, 6 hours 33 minutes 30 seconds,1,36
29,58th, 7 hours 23 minutes 34 seconds,2,37
30,59th, 7 hours 29 minutes 56 seconds,1,39
31,61st, 8 hours 3 minutes 39 seconds,1,40
32,68th, 9 hours 24 minutes 10 seconds,2,41
33,69th, 9 hours 27 minutes 32 seconds,1,43
34,74th, 9 hours 59 minutes 14 seconds,2,44
35,78th, 10 hours 9 minutes 33 seconds,1,46
36,82nd, 10 hours 19 minutes 56 seconds,1,47
37,97th, 11 hours 46 minutes 24 seconds,1,48
38,98th, 12 hours 1 minutes 46 seconds,1,49
39,103rd, 13 hours 21 minutes 39 seconds,1,50
40,105th, 13 hours 31 minutes 19 seconds,1,51
41,107th, 13 hours 56 minutes 2 seconds,1,52
42,108th, 14 hours 5 minutes 22 seconds,1,53
43,109th, 14 hours 14 minutes 43 seconds,1,54
44,111th, 14 hours 39 minutes 24 seconds,2,55
45,112th, 15 hours 3 minutes 46 seconds,1,57
46,115th, 16 hours 4 minutes 49 seconds,1,58
47,119th, 18 hours 21 minutes 35 seconds,4,59
48,121st, 19 hours 1 minutes 25 seconds,1,63
49,122nd, 19 hours 16 minutes 59 seconds,1,64
50,123rd, 19 hours 26 minutes 28 seconds,1,65
51,129th, 20 hours 11 minutes 28 seconds,1,66
52,130th, 20 hours 12 minutes 1 seconds,2,67
53,132nd, 20 hours 13 minutes 6 seconds,1,69
54,138th, 21 hours 34 minutes 21 seconds,1,70
55,142nd, 22 hours 21 minutes 31 seconds,1,71
56,151st, 23 hours 23 minutes 39 seconds,1,72
